Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(3G).4p,x 2G*,9/2,,70314.624,,0.003,664.143,1.11,  79                                  :    17  3d6.(3H).4p             2G*   ,"L18349,L18361c138"
3d6.(3G).4p,x 2G*,7/2,,70523.694,,0.003,209.070,0.87,  73                                  :    13  3d6.(3H).4p             2G*   ,"L18349,L18361c138"
3d6.(1I).4p,z 2K*,13/2,,70986.667,,0.004,462.973,,  99                                                                         ,"L18349,L18361c138"
3d6.(1I).4p,z 2K*,15/2,,71432.690,,0.003,446.023,1.05,  99                                                                         ,"L18349,L18361c138"
3d6.(3D).4p,w 4P*,5/2,,71964.750,,0.003,532.060,,  86                                  :     6  3d6.(3D).4p             4D*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4P*,3/2,,72043.060,,0.004,78.310,1.66,  67                                  :    15  3d6.(3D).4p             4D*   ,"L18349,L18361c138"
3d6.(1G2).4p,x 2H*,9/2,,72130.375,,0.003,87.315,0.91,  47                                  :    22  3d6.(1I).4p             2H*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4F*,3/2,,72169.004,,0.003,38.629,,  76                                  :    10  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4P*,1/2,,72212.989,,0.004,43.985,,  57                                  :    30  3d6.(3D).4p             4D*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4F*,5/2,,72238.564,,0.003,25.575,,  75                                  :    10  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(1G2).4p,x 2H*,11/2,,72261.742,,0.003,23.178,1.08,  44  3d6.(1I).4p 2H*                 :    35  3d6.(1G2).4p            2H*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4F*,7/2,,72352.046,,0.003,90.304,,  64                                  :    10  3d6.(3D).4p             4D*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4D*,1/2,,72429.675,,0.005,77.629,,  51                                  :    35  3d6.(3D).4p             4P*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4D*,3/2,,72524.561,,0.003,94.886,,  69                                  :    16  3d6.(3D).4p             4P*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4D*,5/2,,72619.499,,0.003,94.938,,  77                                  :     7  3d6.(3D).4p             4F*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4F*,9/2,,72650.698,,0.003,31.199,,  87                                  :     8  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(3D).4p,w 4D*,7/2,,72651.914,,0.003,1.216,,  55                                  :    19  3d6.(3D).4p             4F*   ,"L18349,L18361c138"
3d6.(1G2).4p,x 2F*,7/2,,73016.184,,0.003,364.270,,  25                                  :    23  3d6.(3D).4p             4D*   ,"L18349,L18361c138"
3d6.(1G2).4p,x 2F*,5/2,,73054.913,,0.003,38.729,,  36  3d6.(3D).4p 2F*                 :    29  3d6.(1G2).4p            2F*   ,"L18349,L18361c138"
3d6.(1G2).4p,w 2G*,9/2,,73091.630,,0.003,36.717,,  57                                  :    26  3d6.(1G1).4p            2G*   ,"L18349,L18361c138"
3d6.(1G2).4p,w 2G*,7/2,,73143.346,,0.003,51.716,0.91,  58                                  :    27  3d6.(1G1).4p            2G*   ,"L18349,L18361c138"
3d6.(3D).4p,y 2P*,1/2,,73187.318,,0.004,43.972,,  73                                  :    11  3d6.(1S2).4p            2P*   ,"L18349,L18361c138"
3d6.(3D).4p,y 2P*,3/2,,73189.114,,0.003,1.796,,  77                                  :     9  3d6.(1S2).4p            2P*   ,"L18349,L18361c138"
3d5.4s2,4F,9/2,,73393.771,,0.003,204.657,,  96                                  :     2  3d5.(4F).4p2            4F    ,"L18349,L18361c138"
3d5.4s2,4F,5/2,,73395.831,,0.003,2.060,,  79                                  :    17  3d5.4s2                 2F1   ,"L18349,L18361c138"
3d5.4s2,4F,7/2,,73492.248,,0.003,96.417,,  87                                  :    10  3d5.4s2                 2F1   ,"L18349,L18361c138"
3d6.(1I).4p,w 2H*,11/2,,73603.537,,0.004,111.289,,  36                                  :    27  3d6.(1G2).4p            2H*   ,"L18349,L18361c138"
3d5.4s2,4F,3/2,,73637.285,,0.003,33.748,,  89                                  :     7  3d5.4s2                 2D3   ,"L18349,L18361c138"
3d6.(1I).4p,w 2H*,9/2,,73751.276,,0.004,113.991,,  64                                  :    12  3d6.(1G1).4p            2H*   ,"L18349,L18361c138"
3d6.(1I).4p,y 2I*,13/2,,73966.843,,0.003,215.567,,  97                                                                         ,"L18349,L18361c138"
3d6.(1I).4p,y 2I*,11/2,,73969.761,,0.004,2.918,,  88                                  :     7  3d6.(1I).4p             2H*   ,"L18349,L18361c138"
3d6.(3D).4p,x 2D*,3/2,,74498.093,,0.004,528.332,,  90                                  :     3  3d6.(1F).4p             2D*   ,"L18349,L18361c138"
3d6.(3D).4p,x 2D*,5/2,,74606.864,,0.004,108.771,,  91                                  :     2  3d6.(1F).4p             2D*   ,"L18349,L18361c138"
3d6.(3D).4p,w 2F*,7/2,,75600.900,,0.004,994.036,1.125,  56                                  :    16  3d6.(1G2).4p            2F*   ,"L18349,L18361c138"
3d6.(3D).4p,w 2F*,5/2,,75915.080,,0.003,314.180,0.844,  49                                  :    22  3d6.(1G2).4p            2F*   ,"L18349,L18361c138"
3d6.(1S2).4p,x 2P*,3/2,,76129.465,,0.004,214.385,1.34,  37  3d6.(1D2).4p 2P*                :    30  3d6.(1S2).4p            2P*   ,"L18349,L18361c138"
3d6.(1S2).4p,x 2P*,1/2,,76577.436,,0.003,447.971,,  31                                  :    30  3d6.(1D2).4p            2P*   ,"L18349,L18361c138"
3d6.(1D2).4p,v 2F*,5/2,,77742.736,,0.004,1165.300,,  60                                  :    17  3d6.(1D1).4p            2F*   ,"L18349,L18361c138"
3d6.(5D).5s,e 6D,9/2,,77861.650,,0.003,118.914,, 100                                                                         ,"L18349,L18361c138"
3d6.(1D2).4p,v 2F*,7/2,,78137.404,,0.004,275.754,1.13,  64                                  :    18  3d6.(1D1).4p            2F*   ,"L18349,L18361c138"
3d5.4s2,2G2,7/2,,78185.004,,0.004,47.600,,  97                                  :     2  3d5.(2G2).4p2           2G    ,"L18349,L18361c138"
3d6.(5D).5s,e 6D,7/2,,78237.709,,0.003,52.705,,  99                                                                         ,"L18349,L18361c138"
3d6.(1D2).4p,w 2D*,3/2,,78487.144,,0.005,249.435,,  71                                  :    17  3d6.(1D1).4p            2D*   ,"L18349,L18361c138"
3d6.(5D).5s,e 6D,5/2,,78525.442,,0.003,38.298,,  99                                                                         ,"L18349,L18361c138"
3d5.4s2,2G2,9/2,,78577.263,,0.003,51.821,,  73                                  :    24  3d5.4s2                 2H    ,"L18349,L18361c138"
3d6.(1D2).4p,w 2D*,5/2,,78690.860,,0.004,113.597,,  68                                  :    16  3d6.(1D1).4p            2D*   ,"L18349,L18361c138"
3d6.(5D).5s,e 6D,3/2,,78725.822,,0.003,34.962,,  99                                                                         ,"L18349,L18361c138"
3d6.(1D2).4p,w 2P*,1/2,,78841.872,,0.008,116.050,,  39                                  :    28  3d6.(1S2).4p            2P*   ,"L18349,L18361c138"
3d6.(5D).5s,e 6D,1/2,,78844.031,,0.003,2.159,, 100                                                                         ,"L18349,L18361c138"
3d6.(1D2).4p,w 2P*,3/2,,79243.462,,0.003,399.431,,  32  3d6.(1S2).4p 2P*                :    30  3d6.(1D2).4p            2P*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(1P*),x 6P*,3/2,,79245.926,,0.004,2.464,,  50  3d5.4s.(5S).4p 6P*              :    42  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(1P*),x 6P*,5/2,,79284.919,,0.004,38.993,,  51  3d5.4s.(5S).4p 6P*              :    42  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(1P*),x 6P*,7/2,,79331.361,,0.004,46.442,,  53  3d5.4s.(5S).4p 6P*              :    40  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).5s,e 4D,7/2,,79439.496,,0.003,108.135,,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).5s,e 4D,5/2,,79885.523,,0.003,446.027,,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).5s,e 4D,3/2,,80178.005,,0.003,292.482,,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).5s,e 4D,1/2,,80346.060,,0.003,168.055,, 100                                                                         ,"L18349,L18361c138"
3d5.4s2,2F2,5/2,,81639.253,,0.003,1293.193,,  97                                  :     2  3d5.(2F2).4p2           2F    ,"L18349,L18361c138"
3d5.4s2,2F2,7/2,,81734.733,,0.003,95.480,,  96                                  :     2  3d5.(2F2).4p2           2F    ,"L18349,L18361c138"
3d6.(5D).4d,e 6F,11/2,,82853.704,,0.003,1118.971,,  98                                  :     2  3d6.(5D).4d             6G    ,"L18349,L18361c138"
3d6.(5D).4d,e 6F,9/2,,82978.717,,0.003,125.013,,  85                                  :    13  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(5D).4d,e 6F,7/2,,83136.508,,0.003,157.791,,  78                                  :    18  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(1F).4p,v 2G*,7/2,,83305.229,,0.004,168.721,,  92                                  :     2  3d6.(3F1).4p            2G*   ,"L18349,L18361c138"
3d6.(5D).4d,e 6F,5/2,,83308.241,,0.003,3.012,,  81                                  :    15  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(5D).4d,e 6F,3/2,,83459.721,,0.003,151.480,,  90                                  :     9  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(5D).4d,e 6F,1/2,,83558.569,,0.003,98.848,,  97                                  :     2  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(5D).4d,6D,7/2,,83713.583,,0.003,155.014,,  45                                  :    37  3d6.(5D).4d             6P    ,"L18349,L18361c138"
3d6.(5D).4d,6D,9/2,,83726.416,,0.003,12.833,,  87                                  :    12  3d6.(5D).4d             6F    ,"L18349,L18361c138"
3d6.(5D).4d,6D,5/2,,83812.352,,0.003,85.936,,  41  3d6.(5D).4d 6P                  :    41  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(1F).4p,v 2D*,5/2,,83868.450,,0.005,56.098,,  84                                  :     4  3d6.(1D2).4p            2D*   ,"L18349,L18361c138"
3d6.(1F).4p,v 2G*,9/2,,83871.208,,0.004,2.758,,  94                                                                         ,"L18349,L18361c138"
3d6.(5D).4d,6D,3/2,,83990.106,,0.003,118.898,,  63                                  :    28  3d6.(5D).4d             6P    ,"L18349,L18361c138"
3d6.(5D).4d,e 6G,13/2,,84035.172,,0.003,45.066,, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4d,6D,1/2,,84131.624,,0.003,96.452,,  97                                  :     2  3d6.(5D).4d             6F    ,"L18349,L18361c138"
3d6.(5D).4d,6P,7/2,,84266.594,,0.003,134.970,,  57                                  :    34  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(5D).4d,e 6G,11/2,,84296.881,,0.003,30.287,1.33,  91                                  :     7  3d6.(5D).4d             4G    ,"L18349,L18361c138"
3d6.(5D).4d,6P,5/2,,84326.967,,0.003,30.086,,  47                                  :    42  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(1F).4p,v 2D*,3/2,,84359.779,,0.005,32.812,,  87                                  :     2  3d6.(1D2).4p            2D*   ,"L18349,L18361c138"
3d6.(5D).4d,6P,3/2,,84424.422,,0.003,64.643,,  70                                  :    28  3d6.(5D).4d             6D    ,"L18349,L18361c138"
3d6.(5D).4d,e 6G,9/2,,84527.806,,0.003,103.384,,  92                                  :     5  3d6.(5D).4d             4G    ,"L18349,L18361c138"
3d6.(5D).4d,f 4D,7/2,,84685.245,,0.003,157.439,,  88                                  :     4  3d6.(5D).4d             6P    ,"L18349,L18361c138"
3d6.(5D).4d,e 6G,7/2,,84710.749,,0.003,25.504,,  92                                  :     3  3d6.(5D).4d             4D    ,"L18349,L18361c138"
3d6.(5D).4d,e 6G,5/2,,84844.866,,0.003,134.117,,  95                                  :     3  3d6.(5D).4d             4D    ,"L18349,L18361c138"
3d6.(5D).4d,e 4G,11/2,,84863.382,,0.003,18.516,1.27,  92                                  :     7  3d6.(5D).4d             6G    ,"L18349,L18361c138"
3d6.(5D).4d,f 4D,5/2,,84870.911,,0.003,7.529,,  92                                  :     3  3d6.(5D).4d             6G    ,"L18349,L18361c138"
3d6.(5D).4d,e 6G,3/2,,84938.265,,0.003,67.354,,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4d,f 4D,3/2,,85048.655,,0.003,110.390,,  97                                                                         ,"L18349,L18361c138"
3d6.(5D).4d,f 4D,1/2,,85172.826,,0.004,124.171,,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4d,e 4G,9/2,,85184.773,,0.003,11.947,,  90                                  :     5  3d6.(5D).4d             6G    ,"L18349,L18361c138"
3d6.(5D).4d,e 4G,7/2,,85462.907,,0.004,278.134,,  93                                  :     3  3d6.(5D).4d             4F    ,"L18349,L18361c138"
3d6.(5D).4d,6S,5/2,,85495.366,,0.004,32.459,,  91                                  :     8  3d6.(5D).4d             6P    ,"L18349,L18361c138"
3d6.(5D).4d,e 4G,5/2,,85679.755,,0.004,184.389,,  96                                  :     2  3d6.(5D).4d             4F    ,"L18349,L18361c138"
3d6.(5D).4d,4S,3/2,,85728.846,,0.004,49.091,,  97                                  :     2  3d6.(5D).4d             4P    ,"L18349,L18361c138"
3d6.(5D).4d,e 4F,9/2,,86124.348,,0.004,395.502,1.29,  92                                  :     4  3d6.(5D).4d             4G    ,"L18349,L18361c138"
3d6.(3P1).4p,v 4D*,1/2,,86388.786,,0.014,264.44,,  36  3d6.(3F1).4p 4D*                :    34  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(5D).4d,e 4F,7/2,,86416.370,,0.004,27.58,,  90                                  :     4  3d6.(5D).4d             4G    ,"L18349,L18361c138"
3d6.(1F).4p,u 2F*,7/2,,86482.560,,0.004,66.190,,  84                                  :     4  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3P1).4p,v 4D*,3/2,,86543.902,,0.008,61.342,,  38  3d6.(3F1).4p 4D*                :    32  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(1F).4p,u 2F*,5/2,,86547.427,,0.005,3.525,,  84                                  :     4  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(5D).4d,e 4F,5/2,,86599.791,,0.004,52.364,,  92                                  :     2  3d6.(5D).4d             4G    ,"L18349,L18361c138"
3d6.(5D).4d,e 4F,3/2,,86710.911,,0.004,111.120,,  95                                                                         ,"L18349,L18361c138"
3d6.(3P1).4p,v 4D*,5/2,,86767.614,,0.004,56.703,,  37  3d6.(3F1).4p 4D*                :    27  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(3P1).4p,v 4D*,7/2,,86929.664,,0.005,162.050,,  43  3d6.(3F1).4p 4D*                :    23  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),y 6F*,11/2,,87340.882,,0.004,411.218,,  86  3d5.4s.(5G).4p 6F*              :     6  3d5.4s.(5F).4p          6F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),y 6F*,9/2,,87471.789,,0.004,130.907,,  81  3d5.4s.(5G).4p 6F*              :     6  3d5.4s.(5F).4p          6F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),y 6F*,7/2,,87537.646,,0.004,65.857,,  70  3d5.4s.(5G).4p 6F*              :    10  3d5.4s.(5P).4p          6D*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),y 6F*,5/2,,87572.959,,0.004,35.313,,  51  3d5.4s.(5G).4p 6F*              :    27  3d5.4s.(5P).4p          6D*   ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6D*,3/2,,87602.335,,0.005,29.376,,  50  3d5.4s.(5P).4p 6D*              :    29  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6D*,1/2,,87636.30,,0.04,33.96,,  72  3d5.4s.(5P).4p 6D*              :    14  3d5.4s.(5D).4p          6D*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),y 6F*,1/2,,87898.178,,0.005,261.88,,  74  3d5.4s.(5G).4p 6F*              :    10  3d5.4s.(5P).4p          6D*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),y 6F*,3/2,,87965.137,,0.004,66.959,,  55  3d5.4s.(5G).4p 6F*              :    30  3d5.4s.(5P).4p          6D*   ,"L18349,L18361c138"
3d6.(5D).4d,4P,5/2,,87985.667,,0.004,20.530,,  96                                                                         ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6D*,5/2,,88059.304,,0.004,73.637,,  41  3d5.4s.(5P).4p 6D*              :    25  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d6.(5D).4d,4P,3/2,,88157.176,,0.004,97.872,,  93                                  :     2  3d6.(5D).4d             4S    ,"L18349,L18361c138"
3d6.(5D).4d,4P,1/2,,88189.066,,0.004,31.890,,  96                                                                         ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6D*,7/2,,88209.461,,0.004,20.395,,  61  3d5.4s.(5P).4p 6D*              :    14  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6D*,9/2,,88614.523,,0.004,405.062,,  78  3d5.4s.(5P).4p 6D*              :    13  3d5.4s.(5D).4p          6D*   ,"L18349,L18361c138"
3d6.(5D).5p,6D*,9/2,,88723.398,,0.004,108.875,,  97                                                                         ,"L18349,L18361c138"
3d6.(5D).5p,6D*,7/2,,88853.535,,0.004,130.137,,  60                                  :    13  3d6.(5D).5p             6P*   ,"L18349,L18361c138"
3d6.(5D).5p,6D*,5/2,,89119.452,,0.004,265.917,,  78                                  :     7  3d5.4s.(5P).4p          6P*   ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6P*,7/2,,89128.569,,0.004,9.117,,  35  3d6.(5D).5p 6D*                 :    28  3d5.4s.(5P).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).5p,6D*,3/2,,89331.199,,0.004,202.630,,  89                                  :     4  3d5.4s.(5P).4p          6P*   ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6P*,5/2,,89444.455,,0.004,113.256,,  42  3d5.4s.(5P).4p 6P*              :    20  3d5.4s.(5D).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).5p,6D*,1/2,,89471.372,,0.004,26.917,,  99                                                                         ,"L18349,L18361c138"
3d5.(4P).4s.4p.(3P*),6P*,3/2,,89625.951,,0.004,154.579,,  51  3d5.4s.(5P).4p 6P*              :    20  3d5.4s.(5D).4p          6P*   ,"L18349,L18361c138"
3d6.(3F1).4p,4G*,5/2,,89727.383,,0.004,101.432,,  77                                  :    17  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3F1).4p,4G*,7/2,,89890.396,,0.005,163.013,,  76                                  :    17  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(5D).5p,6F*,11/2,,89924.150,,0.004,33.754,,  95                                                                         ,"L18349,L18361c138"
3d6.(5D).5p,4F*,9/2,,90042.804,,0.004,118.654,,  41  3d6.(5D).5p 4F*                 :    36  3d6.(5D).5p             6F*   ,"L18349,L18361c138"
3d6.(3F1).4p,4G*,9/2,,90067.357,,0.004,24.553,,  62  3d6.(3F1).4p 4G*                :    14  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3F1).4p,4G*,11/2,,90211.613,,0.004,144.256,,  75                                  :    18  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(5D).5p,6F*,7/2,,90300.628,,0.004,89.015,,  40                                  :    30  3d6.(5D).5p             4F*   ,"L18349,L18361c138"
3d6.(5D).5p,6F*,9/2,,90386.533,,0.004,85.905,,  48  3d6.(5D).5p 6F*                 :    47  3d6.(5D).5p             4F*   ,"L18349,L18361c138"
3d6.(5D).5p,4D*,7/2,,90397.873,,0.004,11.340,,  64                                  :    32  3d6.(5D).5p             6F*   ,"L18349,L18361c138"
3d6.(5D).5p,6F*,5/2,,90487.827,,0.004,89.954,,  81                                  :    11  3d6.(5D).5p             4F*   ,"L18349,L18361c138"
3d6.(5D).5p,6F*,3/2,,90593.511,,0.004,105.684,,  87                                  :     5  3d5.4s.(5D).4p          6F*   ,"L18349,L18361c138"
3d6.(3P1).4p,4S*,3/2,,90629.811,,0.005,36.300,,  49                                  :    23  3d6.(3P2).4p            4S*   ,"L18349,L18361c138"
3d6.(5D).5p,4D*,5/2,,90638.823,,0.004,9.012,,  68                                  :    16  3d6.(5D).5p             4P*   ,"L18349,L18361c138"
3d6.(5D).5p,6F*,1/2,,90648.230,,0.004,9.407,,  90                                  :     6  3d5.4s.(5D).4p          6F*   ,"L18349,L18361c138"
3d6.(5D).5p,4F*,7/2,,90780.623,,0.004,132.393,,  65                                  :    20  3d6.(5D).5p             6F*   ,"L18349,L18361c138"
3d6.(3P1).4p,4P*,1/2,,90839.488,,0.004,58.865,,  34                                  :    27  3d6.(5D).5p             4P*   ,"L18349,L18361c138"
3d6.(5D).5p,4D*,3/2,,90898.878,,0.004,59.390,,  56  3d6.(5D).5p 4D*                 :    15  3d6.(5D).5p             4P*   ,"L18349,L18361c138"
3d6.(5D).5p,4P*,5/2,,90901.130,,0.004,2.252,,  48                                  :    22  3d6.(5D).5p             4F*   ,"L18349,L18361c138"
3d6.(3P1).5p,4P*,3/2,,91048.225,,0.004,147.095,,  22  3d6.(5D).5p 4P*                 :    19  3d6.(5D).5p             4D*   ,"L18349,L18361c138"
3d6.(5D).5p,4F*,5/2,,91070.566,,0.004,22.341,,  53                                  :    22  3d6.(5D).5p             4D*   ,"L18349,L18361c138"
3d6.(5D).5p,w 6P*,7/2,,91167.936,,0.004,97.370,,  71                                  :    16  3d5.4s.(5P).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).5p,4D*,1/2,,91199.776,,0.004,31.840,,  92                                  :     2  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(5D).5p,4F*,3/2,,91208.892,,0.004,9.116,,  67                                  :    18  3d6.(5D).5p             4D*   ,"L18349,L18361c138"
3d6.(5D).5p,w 6P*,5/2,,91575.149,,0.004,366.257,,  74                                  :    16  3d5.4s.(5P).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).5p,w 6P*,3/2,,91843.485,,0.004,268.336,,  74                                  :    17  3d5.4s.(5P).4p          6P*   ,"L18349,L18361c138"
3d5.(4D).4s.4p.(3P*),6F*,1/2,,91850.584,,0.004,7.099,,  84  3d5.4s.(5D).4p 6F*              :    10  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d5.(4D).4s.4p.(3P*),6F*,3/2,,91915.570,,0.004,64.986,,  84  3d5.4s.(5D).4p 6F*              :     9  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d5.(4D).4s.4p.(3P*),6F*,5/2,,92018.727,,0.004,103.157,,  86  3d5.4s.(5D).4p 6F*              :     8  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),x 4H*,7/2,,92089.043,,0.027,70.32,,  51  3d5.(4G).4s.(3G).4p 4H*         :    44  3d5.4s.(5G).4p          4H*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),x 4H*,9/2,,92116.529,,0.007,27.49,,  42  3d5.(4G).4s.(3G).4p 4H*         :    37  3d5.4s.(5G).4p          4H*   ,"L18349,L18361c138"
3d5.(4D).4s.4p.(3P*),6F*,7/2,,92154.154,,0.004,37.625,,  85  3d5.4s.(5D).4p 6F*              :     7  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),x 4H*,11/2,,92166.417,,0.005,12.263,,  50  3d5.(4G).4s.(3G).4p 4H*         :    45  3d5.4s.(5G).4p          4H*   ,"L18349,L18361c138"
3d6.(3F1).4p,u 2G*,9/2,,92171.690,,0.004,5.273,,  30                                  :    14  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d6.(3P1).4p,u 2D*,3/2,,92216.391,,0.004,44.701,,  31  3d6.(3F1).4p 2D*                :    20  3d6.(3P1).4p            2D*   ,"L18349,L18361c138"
3d6.(5D).5p,4P*,3/2,,92225.549,,0.004,9.158,,  50                                  :    19  3d6.(3P1).4p            4P*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),x 4H*,13/2,,92249.889,,0.005,24.340,,  50  3d5.(4G).4s.(3G).4p 4H*         :    47  3d5.4s.(5G).4p          4H*   ,"L18349,L18361c138"
3d6.(3P1).4p,4P*,5/2,,92274.123,,0.004,24.234,,  17                                  :    15  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),v 4F*,7/2,,92282.470,,0.004,8.347,,  28  3d5.4s.(5G).4p 4F*              :    26  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d5.(4D).4s.4p.(3P*),6F*,9/2,,92300.269,,0.004,17.799,,  89  3d5.4s.(5D).4p 6F*              :     6  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d6.(5D).5p,4P*,1/2,,92314.764,,0.004,14.495,,  69                                  :    14  3d6.(3P1).4p            4P*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),v 4F*,5/2,,92329.905,,0.004,15.141,,  17  3d6.(3P1).4p 4P*                :    17  3d5.4s.(5G).4p          4F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),v 4F*,3/2,,92358.625,,0.004,28.720,,  26  3d6.(3F1).4p 4F*                :    18  3d5.4s.(5G).4p          4F*   ,"L18349,L18361c138"
3d5.(4G).4s.4p.(3P*),v 4F*,9/2,,92426.967,,0.004,68.342,,  32  3d6.(3F1).4p 2G*                :    24  3d5.4s.(5G).4p          4F*   ,"L18349,L18361c138"
3d5.(4D).4s.4p.(3P*),6F*,11/2,,92432.098,,0.004,5.131,,  93  3d5.4s.(5D).4p 6F*              :     5  3d5.4s.(5G).4p          6F*   ,"L18349,L18361c138"
3d6.(3F1).4p,4D*,1/2,,92453.365,,0.005,21.267,,  38                                  :    25  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F1).4p,u 2G*,7/2,,92602.711,,0.004,149.346,,  64                                  :    16  3d6.(3F2).4p            2G*   ,"L18349,L18361c138"
3d6.(3F1).4p,4D*,3/2,,92647.591,,0.004,44.880,,  33                                  :    24  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(3P1).4p,u 2D*,5/2,,92695.398,,0.007,47.807,,  30  3d6.(3F1).4p 2D*                :    12  3d6.(3P1).4p            2D*   ,"L18349,L18361c138"
3d6.(3F1).4p,4D*,5/2,,92899.306,,0.004,203.908,,  19  3d6.(3F1).4p 2D*                :    18  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F1).4p,4D*,7/2,,93129.879,,0.006,230.573,,  27  3d6.(3P1).4p 4D*                :    22  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F1).4p,u 4F*,3/2,,93328.553,,0.005,198.674,,  33                                  :    24  3d5.(4G).4s.(3G).4p     4F*   ,"L18349,L18361c138"
3d6.(3F1).4p,u 4F*,5/2,,93395.407,,0.034,66.85,,  38                                  :    20  3d5.(4G).4s.(3G).4p     4F*   ,"L18349,L18361c138"
