Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(5D<4>).5f,2[6]*,13/2,,112890.534,,0.005,8.037,,  98  3d6.(5D<4>).5f 2[6]*                                                   ,L18349c137
3d6.(5D<4>).5f,2[4]*,9/2,,112891.061,,0.005,0.527,,  79  3d6.(5D<4>).5f 2[4]*            :    20  3d6.(5D<4>).5f          2[5]* ,L18349c137
3d6.(5D<4>).5f,2[3]*,7/2,,112912.023,,0.005,20.962,,  51  3d6.(5D<4>).5f 2[3]*            :    46  3d6.(5D<4>).5f          2[4]* ,L18349c137
3d5.(6S).4p2,6P,3/2,,112927.781,,0.005,15.758,,                                                                             ,L18349
3d6.(5D<4>).5f,2[2]*,5/2,,112934.300,,0.004,6.519,,  57  3d6.(5D<4>).5f 2[2]*            :    30  3d6.(5D<4>).5f          2[3]* ,L18349c137
3d6.(5D<4>).5f,2[5]*,9/2,,112939.965,,0.004,5.665,,  63  3d6.(5D<4>).5f 2[5]*            :    18  3d6.(5D<4>).5f          2[4]* ,L18349c137
3d5.(6S).4p2,6P,7/2,,112966.779,,0.005,26.814,,                                                                             ,L18349
3d6.(5D<4>).5f,2[7]*,15/2,,112977.563,,0.005,10.784,, 100  3d6.(5D<4>).5f 2[7]*                                                   ,L18349c137
3d6.(5D).7s,6D,5/2,,112987.144,,0.004,9.581,,                                                                             ,L18349
3d6.(5D<4>).5f,2[6]*,11/2,,112994.097,,0.004,6.953,,  76  3d6.(5D<4>).5f 2[6]*            :     7  3d6.(5D<4>).5f          2[5]* ,L18349c137
3d6.(5D<4>).5f,2[7]*,13/2,,113010.585,,0.005,16.488,,  94  3d6.(5D<4>).5f 2[7]*                                                   ,L18349c137
3d6.(5D<4>).5g,2[6],13/2,,113040.588,,0.005,30.003,,                                                                             ,L18349
3d6.(5D<4>).5g,2[6],11/2,,113040.688,,0.005,0.100,,                                                                             ,L18349
